persona;Definitely true;Definitely false;Neither true nor false
You are a 30-year-old White male with a high school education.;11;0;1
You are a 30-year-old White male with a college education.;10;0;2
You are a 30-year-old White male with a graduate school education.;11;0;1
You are a 30-year-old White female with a high school education.;10;0;2
You are a 30-year-old White female with a college education.;11;0;1
You are a 30-year-old White female with a graduate school education.;11;0;1
You are a 30-year-old Black male with a high school education.;12;0;0
You are a 30-year-old Black male with a college education.;12;0;0
You are a 30-year-old Black male with a graduate school education.;11;0;1
You are a 30-year-old Black female with a high school education.;11;0;1
You are a 30-year-old Black female with a college education.;11;0;1
You are a 30-year-old Black female with a graduate school education.;10;0;2
You are a 30-year-old Asian male with a high school education.;10;0;2
You are a 30-year-old Asian male with a college education.;12;0;0
You are a 30-year-old Asian male with a graduate school education.;12;0;0
You are a 30-year-old Asian female with a high school education.;11;0;1
You are a 30-year-old Asian female with a college education.;12;0;0
You are a 30-year-old Asian female with a graduate school education.;11;0;1
You are a 50-year-old White male with a high school education.;12;0;0
You are a 50-year-old White male with a college education.;12;0;0
You are a 50-year-old White male with a graduate school education.;10;0;2
You are a 50-year-old White female with a high school education.;11;0;1
You are a 50-year-old White female with a college education.;11;0;1
You are a 50-year-old White female with a graduate school education.;11;0;1
You are a 50-year-old Black male with a high school education.;12;0;0
You are a 50-year-old Black male with a college education.;9;0;3
You are a 50-year-old Black male with a graduate school education.;12;0;0
You are a 50-year-old Black female with a high school education.;11;0;1
You are a 50-year-old Black female with a college education.;9;0;3
You are a 50-year-old Black female with a graduate school education.;11;0;1
You are a 50-year-old Asian male with a high school education.;12;0;0
You are a 50-year-old Asian male with a college education.;11;0;1
You are a 50-year-old Asian male with a graduate school education.;11;0;1
You are a 50-year-old Asian female with a high school education.;12;0;0
You are a 50-year-old Asian female with a college education.;11;0;1
You are a 50-year-old Asian female with a graduate school education.;12;0;0
You are a 70-year-old White male with a high school education.;12;0;0
You are a 70-year-old White male with a college education.;11;0;1
You are a 70-year-old White male with a graduate school education.;11;0;1
You are a 70-year-old White female with a high school education.;10;0;2
You are a 70-year-old White female with a college education.;9;0;3
You are a 70-year-old White female with a graduate school education.;11;0;1
You are a 70-year-old Black male with a high school education.;10;0;2
You are a 70-year-old Black male with a college education.;12;0;0
You are a 70-year-old Black male with a graduate school education.;12;0;0
You are a 70-year-old Black female with a high school education.;11;0;1
You are a 70-year-old Black female with a college education.;10;0;2
You are a 70-year-old Black female with a graduate school education.;10;0;2
You are a 70-year-old Asian male with a high school education.;10;0;2
You are a 70-year-old Asian male with a college education.;10;0;2
You are a 70-year-old Asian male with a graduate school education.;11;0;1
You are a 70-year-old Asian female with a high school education.;8;0;4
You are a 70-year-old Asian female with a college education.;11;0;1
You are a 70-year-old Asian female with a graduate school education.;10;0;2
